Date,Open,High,Low,Close,Adj Close,Volume
2002-01-29,3.981490,4.103070,3.981490,4.072670,1.909341,54201829
2002-01-30,4.042280,4.072670,4.027080,4.057480,1.902219,11763126
2002-01-31,4.057480,4.057480,4.057480,4.057480,1.902219,0
2002-02-01,4.148660,4.163850,4.103070,4.133460,1.937840,15117577
2002-02-04,4.239830,4.239830,4.148660,4.179050,1.959213,13271206
2002-02-05,4.194240,4.194240,4.133460,4.148660,1.944966,7722704
2002-02-06,4.194240,4.194240,4.148660,4.163850,1.952087,11562491
2002-02-07,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-08,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-11,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-12,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-13,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-14,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-15,4.163850,4.163850,4.163850,4.163850,1.952087,0
2002-02-18,4.194240,4.224640,4.133460,4.163850,1.952087,8018272
2002-02-19,4.133460,4.194240,4.103070,4.133460,1.937840,8392387
2002-02-20,4.133460,4.148660,4.087870,4.118260,1.930714,9088901
2002-02-21,4.087870,4.133460,4.027080,4.087870,1.916466,15499388
2002-02-22,4.042280,4.072670,3.996690,4.011890,1.880845,10599516
2002-02-25,4.042280,4.057480,3.935900,3.981490,1.866593,11476970
2002-02-26,3.996690,4.011890,3.966300,3.966300,1.859472,7287941
2002-02-27,3.981490,3.996690,3.966300,3.996690,1.873720,13600658
2002-02-28,3.996690,3.996690,3.996690,3.996690,1.873720,0
2002-03-01,3.996690,3.996690,3.951100,3.966300,1.859472,9701154
2002-03-04,4.011890,4.027080,3.951100,3.966300,1.859472,26387826
2002-03-05,3.966300,3.981490,3.859920,3.859920,1.809599,26653663
2002-03-06,3.829530,3.890320,3.829530,3.875120,1.816725,16486961
2002-03-07,3.890320,3.951100,3.859920,3.875120,1.816725,21034853
2002-03-08,3.890320,3.920710,3.859920,3.859920,1.809599,10918923
2002-03-11,3.890320,3.935900,3.859920,3.905510,1.830973,16836210
2002-03-12,3.935900,3.996690,3.905510,3.920710,1.838099,17362154
2002-03-13,3.951100,3.981490,3.920710,3.951100,1.852346,20110619
2002-03-14,3.951100,3.951100,3.905510,3.920710,1.838099,16866481
2002-03-15,3.951100,3.981490,3.890320,3.920710,1.838099,12353288
2002-03-18,3.920710,3.951100,3.875120,3.890320,1.823851,14785017
2002-03-19,3.905510,3.920710,3.859920,3.875120,1.816725,9006440
2002-03-20,3.875120,3.905510,3.859920,3.859920,1.809599,9110748
2002-03-21,3.859920,3.890320,3.859920,3.875120,1.816725,9193696
2002-03-22,3.875120,3.935900,3.875120,3.935900,1.845220,18801730
2002-03-25,3.966300,4.011890,3.966300,3.981490,1.866593,23243446
2002-03-26,3.981490,3.981490,3.935900,3.935900,1.845220,13049339
2002-03-27,3.981490,4.148660,3.981490,3.981490,1.866593,44947440
2002-03-28,4.042280,4.057480,3.981490,4.011890,1.880845,25102391
2002-03-29,4.072670,4.072670,3.981490,3.981490,1.866593,16891109
2002-04-01,3.951100,3.951100,3.920710,3.935900,1.845220,9760150
2002-04-02,3.905510,4.027080,3.905510,3.966300,1.859472,13110846
2002-04-03,3.966300,4.072670,3.951100,4.072670,1.909341,16824136
2002-04-04,4.087870,4.194240,4.072670,4.118260,1.930714,72593238
2002-04-05,4.118260,4.118260,4.118260,4.118260,1.930714,0
2002-04-08,4.163850,4.391800,4.118260,4.285430,2.009086,101527395
2002-04-09,4.255030,4.255030,4.042280,4.042280,1.895093,35816628
2002-04-10,4.072670,4.179050,3.981490,4.133460,1.937840,27578082
