Date,Open,High,Low,Close,Adj Close,Volume
2002-02-20,10.946200,11.100300,10.483600,11.100300,8.236525,18329575744
2002-02-21,11.048900,11.048900,10.637800,10.740600,7.969624,8276705898
2002-02-22,10.535000,10.689200,10.021100,10.637800,7.893344,23199408608
2002-02-25,10.535000,10.535000,10.226700,10.278100,7.626445,9888701
2002-02-26,10.380900,10.380900,10.226700,10.278100,7.626445,15872134386
2002-02-27,10.278100,10.329500,10.175300,10.278100,7.626445,22112204
2002-02-28,null,null,null,null,null,null
2002-03-01,10.380900,10.380900,10.226700,10.278100,7.626445,8076922364
2002-03-04,10.329500,10.586400,10.278100,10.535000,7.817066,13121589
2002-03-05,10.586400,10.637800,10.278100,10.535000,7.817066,11630493252
2002-03-06,10.483600,10.535000,10.329500,10.380900,7.702723,7714891131
2002-03-07,10.432300,10.689200,10.432300,10.432300,7.740862,18186072
2002-03-08,10.535000,10.637800,10.329500,10.432300,7.740862,9431327651
2002-03-11,10.483600,10.637800,10.483600,10.483600,7.778926,14479590461
2002-03-12,10.535000,10.792000,10.483600,10.483600,7.778926,28814610
2002-03-13,10.535000,10.586400,10.329500,10.329500,7.664583,13978609
2002-03-14,10.329500,10.483600,10.278100,10.278100,7.626445,9371793
2002-03-15,10.380900,10.432300,10.175300,10.278100,7.626445,12355569737
2002-03-18,10.278100,10.329500,10.175300,10.226700,7.588305,6430622
2002-03-19,10.226700,10.380900,10.175300,10.329500,7.664583,15063869408
2002-03-20,10.380900,10.380900,10.175300,10.278100,7.626445,7295219698
2002-03-21,10.226700,10.278100,10.175300,10.226700,7.588305,6188555
2002-03-22,10.278100,10.535000,10.226700,10.329500,7.664583,21292764
2002-03-25,10.483600,10.689200,10.483600,10.483600,7.778926,23433395
2002-03-26,10.535000,10.535000,10.329500,10.329500,7.664583,12290060
2002-03-27,10.432300,10.946200,10.432300,10.535000,7.817066,43790383611
2002-03-28,10.740600,10.740600,10.432300,10.483600,7.778926,19368459
2002-03-29,10.689200,10.689200,10.432300,10.483600,7.778926,14695049
2002-04-01,10.380900,10.432300,10.278100,10.329500,7.664583,6887677551
2002-04-02,10.329500,10.535000,10.329500,10.432300,7.740862,9197821
2002-04-03,10.483600,10.740600,10.329500,10.637800,7.893344,24132668941
2002-04-04,10.740600,11.151700,10.637800,10.997500,8.160246,64086674748
2002-04-05,null,null,null,null,null,null
2002-04-08,11.151700,11.717000,10.946200,11.614200,8.617843,77748740104
2002-04-09,11.460100,11.460100,10.843400,10.946200,8.122182,38466170584
2002-04-10,11.048900,11.254500,10.843400,11.048900,8.198384,26774420309
2002-04-11,11.100300,11.151700,10.792000,10.843400,8.045901,18099500927
2002-04-12,10.689200,10.843400,10.586400,10.792000,8.007764,14492760246
2002-04-15,10.894700,10.946200,10.689200,10.792000,8.007764,14824451909
2002-04-16,10.894700,11.151700,10.894700,10.946200,8.122182,21601778967
2002-04-17,11.151700,11.614200,11.048900,11.562800,8.579704,69295258
2002-04-18,11.562800,12.128100,11.460100,11.614200,8.617843,92540070510
2002-04-19,11.871200,12.385100,11.871200,12.385100,9.189858,103962217
2002-04-22,12.642000,12.642000,11.974000,12.487900,9.266136,105093563
2002-04-23,12.487900,13.104600,12.333700,12.385100,9.189858,116738306444
2002-04-24,12.487900,12.590600,12.076700,12.436500,9.227997,47857649317
2002-04-25,12.590600,13.001800,11.768400,11.768400,8.732259,109398691097
2002-04-26,11.871200,12.025400,11.665600,11.922600,8.846678,38996257930
2002-04-29,11.922600,12.025400,11.460100,11.665600,8.655982,34987599714
2002-04-30,11.665600,11.717000,11.048900,11.254500,8.350942,32631070
2002-05-01,null,null,null,null,null,null
2002-05-02,11.357300,11.511400,10.997500,11.048900,8.198384,28249635592
2002-05-03,10.894700,11.357300,10.792000,11.254500,8.350942,22752321280
2002-05-06,11.100300,11.254500,10.535000,10.792000,8.007764,21663735
2002-05-07,10.637800,10.894700,10.483600,10.535000,7.817066,17455679911
2002-05-08,10.689200,10.997500,10.586400,10.740600,7.969624,20794934
2002-05-09,10.946200,10.997500,10.689200,10.740600,7.969624,16490185926
2002-05-10,10.740600,10.843400,10.586400,10.740600,7.969624,6896756992
2002-05-13,10.740600,10.894700,10.689200,10.894700,8.083967,9363226390
2002-05-14,10.946200,10.946200,10.586400,10.689200,7.931484,8060659121
2002-05-15,10.740600,10.843400,10.637800,10.689200,7.931484,11544463637
2002-05-16,10.792000,10.843400,10.586400,10.689200,7.931484,7065831796
2002-05-17,10.792000,10.792000,10.637800,10.689200,7.931484,7004012468
2002-05-20,10.689200,10.689200,10.278100,10.329500,7.664583,25310355
2002-05-21,10.329500,10.432300,10.175300,10.278100,7.626445,14649787
2002-05-22,10.278100,10.432300,10.278100,10.380900,7.702723,7583545307
2002-05-23,10.380900,10.483600,10.278100,10.329500,7.664583,7295858327
2002-05-24,10.380900,10.689200,10.329500,10.535000,7.817066,13751351981
2002-05-27,10.226700,10.483600,10.175300,10.432300,7.740862,9600895
